CountyName,State,Bedrooms,,price_index
Cook County,IL,1,2016-07-31,130785.98051948052
Cook County,IL,1,2016-08-31,130910.16129032258
Cook County,IL,1,2016-09-30,131348.53548387098
Cook County,IL,1,2016-10-31,131862.85806451613
Cook County,IL,1,2016-11-30,132748.74838709677
Cook County,IL,1,2016-12-31,133365.43870967743
Cook County,IL,1,2017-01-31,133942.4193548387
Cook County,IL,1,2017-02-28,134200.66451612904
Cook County,IL,1,2017-03-31,135038.1741935484
Cook County,IL,1,2017-04-30,135838.25806451612
Cook County,IL,1,2017-05-31,136562.95483870967
Cook County,IL,1,2017-06-30,137058.97419354838
Cook County,IL,1,2017-07-31,137320.6258064516
Cook County,IL,1,2017-08-31,137921.89677419353
Cook County,IL,1,2017-09-30,138218.9423076923
Cook County,IL,1,2017-10-31,138705.0064102564
Cook County,IL,1,2017-11-30,138948.83974358975
Cook County,IL,1,2017-12-31,139457.9871794872
Cook County,IL,1,2018-01-31,140475.06962025317
Cook County,IL,1,2018-02-28,141387.0
Cook County,IL,1,2018-03-31,141689.46540880503
Cook County,IL,1,2018-04-30,141163.03125
Cook County,IL,1,2018-05-31,141390.3625
Cook County,IL,1,2018-06-30,141815.9
Cook County,IL,1,2018-07-31,142126.15625
Cook County,IL,1,2018-08-31,142063.06211180124
Cook County,IL,1,2018-09-30,142321.850931677
Cook County,IL,1,2018-10-31,142558.81366459627
Cook County,IL,1,2018-11-30,142428.4814814815
Cook County,IL,1,2018-12-31,142614.16049382716
Cook County,IL,1,2019-01-31,142394.43827160494
Cook County,IL,1,2019-02-28,142146.48765432098
Cook County,IL,1,2019-03-31,142155.13580246913
Cook County,IL,1,2019-04-30,142515.7037037037
Cook County,IL,1,2019-05-31,142802.5987654321
Cook County,IL,1,2019-06-30,142940.16666666666
Cook County,IL,1,2019-07-31,142945.46913580247
Cook County,IL,1,2019-08-31,142871.72222222222
Cook County,IL,1,2019-09-30,142423.0061728395
Cook County,IL,1,2019-10-31,142053.1049382716
Cook County,IL,1,2019-11-30,141727.75308641975
Cook County,IL,1,2019-12-31,141591.41975308643
Cook County,IL,1,2020-01-31,141928.5061728395
Cook County,IL,1,2020-02-29,142161.54938271604
Cook County,IL,1,2020-03-31,142529.35185185185
Cook County,IL,1,2020-04-30,142609.35802469135
Cook County,IL,1,2020-05-31,142765.80246913582
Cook County,IL,1,2020-06-30,143020.72222222222
Cook County,IL,1,2020-07-31,143501.23456790124
Cook County,IL,1,2020-08-31,144071.78395061727
Cook County,IL,1,2020-09-30,144954.67283950618
Cook County,IL,1,2020-10-31,145866.28395061727
Cook County,IL,1,2020-11-30,146816.72222222222
Cook County,IL,1,2020-12-31,147705.88271604938
Cook County,IL,1,2021-01-31,148402.14197530865
Cook County,IL,1,2021-02-28,149318.67901234567
Cook County,MN,1,2012-01-31,144631.25
Cook County,MN,1,2012-02-29,144379.0
Cook County,MN,1,2012-03-31,144018.25
Cook County,MN,1,2012-04-30,143911.75
Cook County,MN,1,2012-05-31,144141.25
Cook County,MN,1,2012-06-30,145046.5
Cook County,MN,1,2012-07-31,146431.5
Cook County,MN,1,2012-08-31,147940.75
Cook County,MN,1,2012-09-30,148683.25
Cook County,MN,1,2012-10-31,149304.0
Cook County,MN,1,2012-11-30,149865.75
Cook County,MN,1,2012-12-31,150586.5
Cook County,MN,1,2013-01-31,151608.0
Cook County,MN,1,2013-02-28,152673.25
Cook County,MN,1,2013-03-31,153979.0
Cook County,MN,1,2013-04-30,155017.25
Cook County,MN,1,2013-05-31,156563.0
Cook County,MN,1,2013-06-30,157179.25
Cook County,MN,1,2013-07-31,156741.25
Cook County,MN,1,2013-08-31,155972.0
Cook County,MN,1,2013-09-30,156580.5
Cook County,MN,1,2013-10-31,158369.75
Cook County,MN,1,2013-11-30,159993.5
Cook County,MN,1,2013-12-31,161058.25
Cook County,MN,1,2014-01-31,161296.5
Cook County,MN,1,2014-02-28,162392.25
Cook County,MN,1,2014-03-31,162911.5
Cook County,MN,1,2014-04-30,164118.75
Cook County,MN,1,2014-05-31,163901.5
Cook County,MN,1,2014-06-30,164709.75
Cook County,MN,1,2014-07-31,166028.25
Cook County,MN,1,2014-08-31,167766.0
Cook County,MN,1,2014-09-30,168532.0
Cook County,MN,1,2014-10-31,168105.75
Cook County,MN,1,2014-11-30,167947.25
Cook County,MN,1,2014-12-31,168049.25
Cook County,MN,1,2015-01-31,169760.0
Cook County,MN,1,2015-02-28,171250.25
Cook County,MN,1,2015-03-31,173018.25
Cook County,MN,1,2015-04-30,173275.25
Cook County,MN,1,2015-05-31,173968.5
Cook County,MN,1,2015-06-30,174591.0
Cook County,MN,1,2015-07-31,175745.75
Cook County,MN,1,2015-08-31,176641.25
Cook County,MN,1,2015-09-30,177721.75
Cook County,MN,1,2015-10-31,178782.25
Cook County,MN,1,2015-11-30,179964.0
Cook County,MN,1,2015-12-31,180622.0
Cook County,MN,1,2016-01-31,180811.5
Cook County,MN,1,2016-02-29,180798.0
Cook County,MN,1,2016-03-31,180983.25
Cook County,MN,1,2016-04-30,181693.75
Cook County,MN,1,2016-05-31,182186.25
Cook County,MN,1,2016-06-30,182669.0
Cook County,MN,1,2016-07-31,182695.0
Cook County,MN,1,2016-08-31,183216.5
Cook County,MN,1,2016-09-30,183825.75
Cook County,MN,1,2016-10-31,184914.0
Cook County,MN,1,2016-11-30,185576.5
Cook County,MN,1,2016-12-31,186801.75
Cook County,MN,1,2017-01-31,187133.0
Cook County,MN,1,2017-02-28,187531.75
Cook County,MN,1,2017-03-31,187539.0
Cook County,MN,1,2017-04-30,188510.75
Cook County,MN,1,2017-05-31,189743.25
Cook County,MN,1,2017-06-30,190521.75
Cook County,MN,1,2017-07-31,190967.0
Cook County,MN,1,2017-08-31,190832.0
Cook County,MN,1,2017-09-30,191005.0
Cook County,MN,1,2017-10-31,191094.25
Cook County,MN,1,2017-11-30,191886.75
Cook County,MN,1,2017-12-31,192555.75
Cook County,MN,1,2018-01-31,193792.0
Cook County,MN,1,2018-02-28,195000.0
Cook County,MN,1,2018-03-31,197007.25
Cook County,MN,1,2018-04-30,198572.75
Cook County,MN,1,2018-05-31,200290.25
Cook County,MN,1,2018-06-30,200774.25
Cook County,MN,1,2018-07-31,201763.25
Cook County,MN,1,2018-08-31,202701.75
Cook County,MN,1,2018-09-30,204149.0
Cook County,MN,1,2018-10-31,205202.25
Cook County,MN,1,2018-11-30,206137.75
Cook County,MN,1,2018-12-31,206919.0
Cook County,MN,1,2019-01-31,207967.75
Cook County,MN,1,2019-02-28,208983.25
Cook County,MN,1,2019-03-31,209096.5
Cook County,MN,1,2019-04-30,208494.0
Cook County,MN,1,2019-05-31,208395.75
Cook County,MN,1,2019-06-30,210003.75
Cook County,MN,1,2019-07-31,211801.25
Cook County,MN,1,2019-08-31,214029.75
Cook County,MN,1,2019-09-30,215419.25
Cook County,MN,1,2019-10-31,217213.0
Cook County,MN,1,2019-11-30,216839.5
Cook County,MN,1,2019-12-31,216878.5
Cook County,MN,1,2020-01-31,216639.0
Cook County,MN,1,2020-02-29,217367.0
Cook County,MN,1,2020-03-31,218376.75
Cook County,MN,1,2020-04-30,219809.75
Cook County,MN,1,2020-05-31,220733.25
Cook County,MN,1,2020-06-30,221132.75
Cook County,MN,1,2020-07-31,221306.5
Cook County,MN,1,2020-08-31,221377.75
Cook County,MN,1,2020-09-30,221850.25
Cook County,MN,1,2020-10-31,222309.0
Cook County,MN,1,2020-11-30,224449.75
Cook County,MN,1,2020-12-31,226448.75
Cook County,MN,1,2021-01-31,228492.75
Cook County,MN,1,2021-02-28,229893.5
